id,title,category
382,Linked List Random Node,linked-list
383,Ransom Note,design
384,Shuffle an Array,design
385,Mini Parser,design
386,Lexicographical Numbers,math
387,First Unique Character in a String,string
388,Longest Absolute File Path,dp
389,Find the Difference,design
390,Elimination Game,design
391,Perfect Rectangle,design
392,Is Subsequence,design
393,UTF-8 Validation,design
394,Decode String,string
395,Longest Substring with At Least K Repeating Characters,design
396,Rotate Function,design
397,Integer Replacement,design
398,Random Pick Index,design
399,Evaluate Division,design
400,Nth Digit,design
401,Binary Watch,design
402,Remove K Digits,design
403,Frog Jump,design
404,Sum of Left Leaves,math
405,Convert a Number to Hexadecimal,math
406,Queue Reconstruction by Height,design
407,Trapping Rain Water II,design
408,Valid Word Abbreviation,design
409,Longest Palindrome,string
410,Split Array Largest Sum,math
411,Minimum Unique Word Abbreviation,design
412,Fizz Buzz,design
413,Arithmetic Slices,design
414,Third Maximum Number,math
415,Add Strings,string
416,Partition Equal Subset Sum,math
417,Pacific Atlantic Water Flow,design
418,Sentence Screen Fitting,design
419,Battleships in a Board,design
420,Strong Password Checker,design
421,Maximum XOR of Two Numbers in an Array,math
422,Valid Word Square,design
423,Reconstruct Original Digits from English,design
424,Longest Repeating Character Replacement,design
425,Word Squares,design
426,Convert Binary Search Tree to Sorted Doubly Linked List,tree
427,Construct Quad Tree,tree
428,Serialize and Deserialize N-ary Tree,tree
429,N-ary Tree Level Order Traversal,tree
430,Flatten a Multilevel Doubly Linked List,linked-list
431,Encode N-ary Tree to Binary Tree,tree
432,All O`one Data Structure,design
433,Minimum Genetic Mutation,design
434,Number of Segments in a String,string
435,Non-overlapping Intervals,design
436,Find Right Interval,design
437,Path Sum III,math
438,Find All Anagrams in a String,string
439,Ternary Expression Parser,design
440,K-th Smallest in Lexicographical Order,design
441,Arranging Coins,design
442,Find All Duplicates in an Array,design
443,String Compression,string
444,Sequence Reconstruction,design
445,Add Two Numbers II,math
446,Arithmetic Slices II - Subsequence,design
447,Number of Boomerangs,math
448,Find All Numbers Disappeared in an Array,math
449,Serialize and Deserialize BST,tree
450,Delete Node in a BST,tree
451,Sort Characters By Frequency,search-sort
452,Minimum Number of Arrows to Burst Balloons,math
453,Minimum Moves to Equal Array Elements,design
454,4Sum II,math
455,Assign Cookies,design
456,132 Pattern,design
457,Circular Array Loop,design
458,Poor Pigs,design
459,Repeated Substring Pattern,design
460,LFU Cache,design
461,Hamming Distance,design
462,Minimum Moves to Equal Array Elements II,design
463,Island Perimeter,design
464,Can I Win,design
465,Optimal Account Balancing,design
466,Count The Repetitions,math
467,Unique Substrings in Wraparound String,string
468,Validate IP Address,math
469,Convex Polygon,design
470,Implement Rand10() Using Rand7(),design
471,Encode String with Shortest Length,string
472,Concatenated Words,design
473,Matchsticks to Square,design
474,Ones and Zeroes,design
475,Heaters,design
476,Number Complement,math
477,Total Hamming Distance,design
478,Generate Random Point in a Circle,design
479,Largest Palindrome Product,string
480,Sliding Window Median,design
481,Magical String,string
482,License Key Formatting,design
483,Smallest Good Base,design
484,Find Permutation,design
485,Max Consecutive Ones,design
486,Predict the Winner,design
487,Max Consecutive Ones II,design
488,Zuma Game,design
489,Robot Room Cleaner,design
490,The Maze,design
491,Non-decreasing Subsequences,design
492,Construct the Rectangle,design
493,Reverse Pairs,design
494,Target Sum,math
495,Teemo Attacking,design
496,Next Greater Element I,design
497,Random Point in Non-overlapping Rectangles,design
498,Diagonal Traverse,design
499,The Maze III,design
500,Keyboard Row,design
